Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,66868,1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126,265,17.01,BS IV,"12,90,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,66868,1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126,265,17.01,BS IV,"12,90,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,66868,1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126,265,17.01,BS IV,"12,90,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,66868,1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126,265,17.01,BS IV,"12,90,000"
Honda WR-V VX i-VTEC,Honda,WR-V,2017,red,suv,75639,1st,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110,16.5,BS IV,"7,48,000"
Chevrolet Beat [2011-2014] LS Diesel,Chevrolet,Beat,2013,blue,hatchback,77022,1st,5,diesel,35,XSDE Smartech,936,5-Speed,Manual,58,150,25.44,BS IV,"2,67,000"
Renault Kwid [2015-2019] RXL,Renault,Kwid,2018,bronze,hatchback,56387,1st,5,petrol,28,Petrol Engine,799,5-Speed,Manual,53.3,72,25.17,BS V,"3,68,000"
Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT,Hyundai,Venue,2019,red,suv,23724,1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,7-Speed,Manual,118.35,171.6,18.15,BS V,"11,37,000"
Maruti Suzuki Celerio ZXi Plus,Maruti Suzuki,Celerio,2022,grey,hatchback,6900,1st,5,petrol,35,K10B Engine,998,5-Speed,Manual,67.04,90,21.63,BS IV,"6,99,000"
Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2017,grey,hatchback,43785,1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,BS IV,"5,44,000"
Honda Amaze 1.5 VX CVT i-DTEC,Honda,Amaze,2019,white,sedan,29780,1st,5,diesel,35,i-DTEC,1199,5-Speed,Manual,79,160,21,BS IV,"9,82,000"
Maruti Suzuki Baleno [2015-2019] Zeta Petrol,Maruti Suzuki,Baleno,2015,blue,hatchback,56207,1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,"6,11,000"
Maruti Suzuki Vitara Brezza [2016-2020] ZDI PLUS Dual Tone,Maruti Suzuki,Vitara Brezza,2016,yellow,suv,40003,1st,5,diesel,48,DDiS 200 Diesel Engine,1248,5-Speed,Automatic,88.5,200,24.3,BS V,"9,41,000"
Hyundai i20 [2012-2014] Asta 1.2,Hyundai,i20,2014,silver,hatchback,94315,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113.7,18.5,BS IV,"5,34,000"
Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2018,grey,hatchback,29492,1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,BS IV,"5,84,000"
Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2017,grey,sedan,21365,1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130,20.73,BS IV,"8,27,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,31262,1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215,24.4,BS V,"6,81,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,31262,1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215,24.4,BS V,"6,81,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,31262,1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215,24.4,BS V,"6,81,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,31262,1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215,24.4,BS V,"6,81,000"
Honda Jazz [2015-2020] SV MT,Honda,Jazz,2017,red,hatchback,56221,1st,5,petrol,40,i-VTEC Petrol Engine,1199,5-Speed,Automatic,88.7,110,18.7,BS V,"5,80,000"
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,Hyundai,Grand i10 Nios,2021,grey,hatchback,27185,1st,5,petrol,37,1.2 L Kappa Petrol,1197,5-Speed,Manual,81.86,113.75,20.07,BS IV,"7,46,000"
Honda Amaze [2013-2018] 1.2 VX i-VTEC,Honda,Amaze,2014,red,sedan,63170,2nd,5,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,BS IV,"4,52,000"
Tata Nano GenX [2015-2018] XT,Tata,Nano GenX,2015,purple,hatchback,44736,1st,5,petrol,24,"2 cylinder, MPFI, Gasoline",624,4-Speed,Manual,37,51,23.6,BS IV,"2,39,000"
Renault Kwid [2017-2019] RXT 1.0 SCE Special (O),Renault,Kwid,2019,grey,hatchback,13111,1st,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67,91,23.01,BS V,"4,53,000"
Ford Figo [2015-2019] Titanium1.5 TDCi,Ford,Figo,2016,grey,hatchback,83705,1st,5,diesel,40,TDCi,1498,5-Speed,Manual,99,215,25.83,BS V,"5,21,000"
Renault Triber RXZ,Renault,Triber,2021,white,muv,7227,1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,71,96,20,BS IV,"7,80,000"
Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX Opt,Hyundai,Verna,2014,white,sedan,45880,1st,5,petrol,43,Front Wheel Drive,1582,5-Speed,Automatic,121,158,17.01,BS III,"6,94,000"
Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2015,white,sedan,36850,1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130,20.73,BS IV,"6,98,000"
Maruti Suzuki Swift [2007-2011] VXi,Maruti Suzuki,Swift,2011,silver,hatchback,53160,1st,5,petrol,43,In-Line Engine,1197,5-Speed,Manual,85,113,16.1,BS IV,"4,26,000"
Honda City V,Honda,City,2021,white,sedan,17790,1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Manual,117.6,145,17.4,BS IV,"9,89,000"
Honda City V,Honda,City,2020,white,sedan,24218,1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Manual,117.6,145,17.4,BS IV,"9,40,000"
Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT,Hyundai,Grand i10,2017,red,hatchback,11304,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.9,BS V,"5,56,000"
Tata Altroz XE 1.5,Tata,Altroz,2021,grey,hatchback,12002,1st,5,diesel,37,1.5 L Turbocharged Revotorq,1497,5-Speed,Manual,89,200,23,BS IV,"7,85,000"
Mahindra XUV 300 W8 Diesel,Mahindra,XUV 300,2020,black,suv,61411,1st,5,diesel,42,1.5L Turbo Diesel,1497,6-Speed,Manual,115,300,20,BS IV,"10,77,000"
Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2014,grey,hatchback,35703,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82,114,18.9,BS IV,"4,64,000"
Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,45378,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,5-Speed,Manual,81.86,113.75,20.14,BS V,"5,89,000"
Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,45378,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,5-Speed,Manual,81.86,113.75,20.14,BS V,"5,89,000"
Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,45378,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,5-Speed,Manual,81.86,113.75,20.14,BS V,"5,89,000"
Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,45378,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,5-Speed,Manual,81.86,113.75,20.14,BS V,"5,89,000"
Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2018,grey,hatchback,28557,2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.9,BS V,"5,74,000"
Maruti Suzuki Celerio ZXi Plus,Maruti Suzuki,Celerio,2021,white,hatchback,14853,1st,5,petrol,35,K10B Engine,998,5-Speed,Manual,67.04,90,21.63,BS IV,"6,55,000"
Maruti Suzuki Ciaz S Petrol,Maruti Suzuki,Ciaz,2020,silver,sedan,70245,1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,5-Speed,Manual,103.25,138,20.65,BS IV,"9,20,000"
Maruti Suzuki Eeco AC 5 STR,Maruti Suzuki,Eeco,2020,grey,muv,22703,1st,5,petrol,40,Aluminium 32 bit,1197,5-Speed,Manual,72.42,98,16.11,BS IV,"4,88,000"
Renault Kwid CLIMBER 1.0 AMT Opt,Renault,Kwid,2020,blue,hatchback,36069,1st,5,petrol,28,Petrol Engine,1298,5-Speed,Automatic,67,91,22,BS IV,"5,48,000"
Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT,Maruti Suzuki,Wagon R 1.0,2016,silver,hatchback,5227,1st,5,petrol,32,K10B Petrol Engine,998,5-Speed,Manual,67.05,90,21.79,BS V,"5,28,000"
Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2017,grey,hatchback,27803,1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,BS IV,"5,27,000"
Honda City [2017-2020] VX,Honda,City,2017,white,sedan,47154,1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Automatic,117.6,145,17.4,BS V,"9,52,000"
Honda Brio [2011-2016] S MT,Honda,Brio,2012,silver,hatchback,84488,1st,5,petrol,35,4 cylinder inline petrol,1198,5-Speed,Manual,86.8,109,19.4,BS III,"3,40,000"
Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,83265,2nd,5,diesel,55,4 cylinder inline,1596,5-Speed,Manual,138,320,19.33,BS IV,"7,90,000"
Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,83265,2nd,5,diesel,55,4 cylinder inline,1596,5-Speed,Manual,138,320,19.33,BS IV,"7,90,000"
Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,83265,2nd,5,diesel,55,4 cylinder inline,1968,5-Speed,Manual,138,320,19.33,BS IV,"7,90,000"
Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,83265,2nd,5,diesel,55,4 cylinder inline,1968,5-Speed,Manual,138,320,19.33,BS IV,"7,90,000"
Honda Amaze 1.2 V CVT Petrol,Honda,Amaze,2018,brown,sedan,16348,1st,5,petrol,35,i-VTEC Petrol Engine,1199,5-Speed,Manual,88.76,110,18.3,BS IV,"7,65,000"
Hyundai i20 [2012-2014] Sportz 1.2,Hyundai,i20,2012,white,hatchback,90078,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113,18.5,BS IV,"4,20,000"
Honda WR-V i-DTEC VX,Honda,WR-V,2018,grey,suv,69591,3rd,5,diesel,40,i-DTEC Diesel engine,1498,6-Speed,Manual,97.89,200,23.7,BS IV,"8,00,000"
Hyundai i20 [2012-2014] Sportz 1.2,Hyundai,i20,2013,blue,hatchback,56096,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113,18.5,BS IV,"4,86,000"
Mahindra XUV500 [2015-2018] W10,Mahindra,XUV500,2017,white,suv,56418,1st,7,diesel,70,4 cylinder mHawk CRDe diesel engine,2179,6-Speed,Manual,140,330,16,BS IV,"14,65,000"
Hyundai i10 [2010-2016] Magna 1.2 Petrol,Hyundai,i10,2012,grey,hatchback,65284,1st,5,petrol,35,Kappa Petrol Engine,1197,5-Speed,Manual,78.9,111.7,20.36,BS III,"3,48,000"
Chevrolet Cruze [2009-2017] LTZ AT,Chevrolet,Cruze,2015,grey,sedan,72489,1st,5,diesel,60,VCDi 16V SOHC,1991,6-Speed,Automatic,164,380,14.81,BS IV,"8,92,000"
Volkswagen Polo [2010-2014] Highline1.2L (P),Volkswagen,Polo,2011,silver,hatchback,68645,2nd,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Manual,73.9,110,16.47,BS IV,"4,51,000"
Hyundai Eon [2011-2018] Magna +,Hyundai,Eon,2018,blue,hatchback,33231,2nd,5,petrol,32,Kappa Engine,814,5-Speed,Manual,68.05,94.14,20.03,BS IV,"4,03,000"
Hyundai i10 [2010-2016] Magna 1.2 Petrol,Hyundai,i10,2011,beige,hatchback,43953,1st,5,petrol,35,Kappa Petrol Engine,1197,5-Speed,Manual,78.9,111.7,20.36,BS III,"3,38,000"
Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT,Ford,EcoSport,2016,grey,suv,36422,1st,5,petrol,52,1.5L Ti-VCT (Petrol),1499,6-Speed,Automatic,110,140,16.5,BS IV,"8,06,000"
Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2015,red,sedan,78251,1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130,20.73,BS IV,"6,34,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2016,red,hatchback,48481,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"6,54,000"
Maruti Suzuki Ciaz [2017-2018] Alpha AT,Maruti Suzuki,Ciaz,2018,blue,sedan,37746,1st,5,petrol,43,k14B VVT Engine,1373,4-Speed,Manual,91.1,130,20.73,BS IV,"8,82,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol,Hyundai,Creta,2017,silver,suv,50872,1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122,154,15.29,BS IV,"11,96,000"
Hyundai Elite i20 [2014-2018] Asta 1.2,Hyundai,Elite i20,2015,grey,hatchback,25517,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"6,69,000"
Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT,Ford,EcoSport,2014,silver,suv,74814,2nd,5,petrol,52,1.5L Ti-VCT (Petrol),1499,5-Speed,Manual,109,140,15.8,BS III,"5,89,000"
Tata Harrier XZ Dual Tone,Tata,Harrier,2020,red,suv,24315,1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Manual,138,350,17,BS IV,"19,12,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2017,blue,hatchback,63937,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"6,28,000"
Maruti Suzuki Dzire [2017-2020] ZXi Plus,Maruti Suzuki,Dzire,2019,white,sedan,11499,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113,23.26,BS V,"8,12,000"
Maruti Suzuki Ciaz Zeta AT Petrol,Maruti Suzuki,Ciaz,2018,white,sedan,15221,1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,4-Speed,Manual,103.25,138,20.65,BS IV,"9,14,000"
Mahindra Scorpio [2014-2017] S4 Plus,Mahindra,Scorpio,2017,black,suv,46438,1st,7,diesel,60,4 cylinder mHawk CRDe diesel engine,2179,5-Speed,Manual,120,280,15.4,BS IV,"11,12,000"
Maruti Suzuki Baleno [2015-2019] Alpha Diesel,Maruti Suzuki,Baleno,2018,orange,hatchback,27941,1st,5,diesel,37,DDiS 200,1248,5-Speed,Manual,74,190,27.39,BS V,"8,10,000"
Hyundai Grand i10 [2013-2017] Asta AT 1.2 Kappa VTVT,Hyundai,Grand i10,2014,grey,hatchback,35461,2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,4-Speed,Automatic,82,114,18.9,BS IV,"5,30,000"
Maruti Suzuki Ritz [2009-2012] Vdi,Maruti Suzuki,Ritz,2012,white,hatchback,46447,1st,5,diesel,43,Multijet/DDis,1248,5-Speed,Manual,75,190,15.6,BS IV,"4,55,000"
Maruti Suzuki Swift Dzire [2012-2017] VXi,Maruti Suzuki,Swift Dzire,2013,grey,sedan,74652,1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114,19.1,BS IV,"4,98,000"
Maruti Suzuki Wagon R 1.0 [2010-2019] VXI,Maruti Suzuki,Wagon R 1.0,2013,beige,hatchback,44746,1st,5,petrol,35,K Series Petrol Engine,998,5-Speed,Manual,67.1,90,18.9,BS V,"4,03,000"
Hyundai i10 [2010-2016] Magna Petrol,Hyundai,i10,2014,grey,hatchback,92092,1st,5,petrol,35,4 cylinder inline petrol engine,1197,5-Speed,Manual,68,99.08,19.81,BS III,"3,80,000"
Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,26653,2nd,5,petrol,42,1.5 Dual VVT-i Engine,1596,5-Speed,Manual,105.94,140,18.1,BS IV,"10,92,000"
Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,26653,2nd,5,petrol,42,1.5 Dual VVT-i Engine,1596,5-Speed,Manual,105.94,140,18.1,BS IV,"10,92,000"
Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,26653,2nd,5,petrol,42,1.5 Dual VVT-i Engine,1496,5-Speed,Manual,105.94,140,18.1,BS IV,"10,92,000"
Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,26653,2nd,5,petrol,42,1.5 Dual VVT-i Engine,1496,5-Speed,Manual,105.94,140,18.1,BS IV,"10,92,000"
Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2014,blue,hatchback,58748,2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82,114,18.9,BS IV,"4,57,000"
Hyundai Creta [2015-2018] 1.6 S Petrol,Hyundai,Creta,2016,beige,suv,90147,1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122,154,15.29,BS IV,"8,13,000"
Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX,Hyundai,Fluidic Verna 4S,2017,grey,sedan,25905,1st,5,petrol,43,1.6L Gamma VTVT 5 Speed Manual Transmission,1591,5-Speed,Manual,121,158,17.4,BS IV,"8,20,000"
Hyundai Xcent [2014-2017] SX (O) Petrol,Hyundai,Xcent,2014,black,sedan,76890,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82,114,19.1,BS IV,"5,02,000"
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,Alto 800,2020,silver,hatchback,32490,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22.05,BS IV,"4,14,000"
Maruti Suzuki Alto 800 [2016-2019] Lxi,Maruti Suzuki,Alto 800,2019,red,hatchback,13505,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,24.7,BS V,"3,91,000"
Maruti Suzuki Alto 800 Lxi,Maruti Suzuki,Alto 800,2021,silver,hatchback,21564,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.33,69,22.05,BS IV,"4,33,000"
Maruti Suzuki Alto 800 [2016-2019] Vxi,Maruti Suzuki,Alto 800,2018,grey,hatchback,22849,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22,BS V,"3,72,000"
Maruti Suzuki Alto K10 [2014-2019] VXi (O),Maruti Suzuki,Alto K10,2016,white,hatchback,24374,1st,5,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,BS V,"3,84,000"
Hyundai Elite i20 [2014-2018] Asta 1.2 Dual Tone,Hyundai,Elite i20,2018,white,hatchback,31912,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"7,84,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Petrol,Hyundai,Creta,2016,red,suv,60578,1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122,154,15.29,BS IV,"9,71,000"
Hyundai Elite i20 [2014-2018] Asta 1.2 (O),Hyundai,Elite i20,2016,red,hatchback,95065,1st,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,BS IV,"6,55,000"
Renault Kwid 1.0 RXT Opt,Renault,Kwid,2022,white,hatchback,7342,1st,5,petrol,28,Petrol Engine,1298,5-Speed,Automatic,67,91,22,BS IV,"5,39,000"
Renault Kwid 1.0 RXL,Renault,Kwid,2021,blue,hatchback,9285,1st,5,petrol,28,1.0L,1298,5-Speed,Automatic,67,91,21.7,BS IV,"4,70,000"
Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O),Hyundai,Elite i20,2017,grey,hatchback,41443,1st,5,diesel,45,U2 CRDI Diesel Engine,1396,6-Speed,Manual,88.73,219.7,22.54,BS IV,"7,90,000"
Maruti Suzuki Celerio [2014-2021] VXi,Maruti Suzuki,Celerio,2015,silver,hatchback,53848,2nd,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,BS IV,"4,15,000"
Maruti Suzuki Ritz [2009-2012] VXI,Maruti Suzuki,Ritz,2012,silver,hatchback,70568,2nd,5,petrol,45,KB Series,1197,5-Speed,Manual,85,113,18.5,BS IV,"3,68,000"
Maruti Suzuki Swift Dzire [2012-2017] VXi,Maruti Suzuki,Swift Dzire,2012,black,sedan,61885,1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114,19.1,BS IV,"4,57,000"
Honda WR-V VX i-VTEC,Honda,WR-V,2019,grey,suv,16240,1st,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110,16.5,BS IV,"8,94,000"
Hyundai i10 [2010-2016] Sportz 1.2 Petrol,Hyundai,i10,2011,red,hatchback,62840,1st,5,petrol,35,DOHC Kappa2 Engine,1197,5-Speed,Manual,78.9,111.8,20.36,BS III,"3,38,000"
Hyundai i10 [2010-2016] Sportz 1.2 Petrol,Hyundai,i10,2011,grey,hatchback,74710,2nd,5,petrol,35,DOHC Kappa2 Engine,1197,5-Speed,Manual,78.9,111.8,20.36,BS III,"3,42,000"
Renault Duster RXS Petrol,Renault,Duster,2021,grey,suv,19722,1st,5,petrol,50,1.5L Petrol,1498,5-Speed,Manual,104.55,142,16.42,BS IV,"9,86,000"
Renault Duster [2012-2015] 85 PS RxL (Opt),Renault,Duster,2014,silver,suv,85751,1st,5,diesel,50,1.5 dCI K9K HP Diesel engine,1461,5-Speed,Manual,84,200,20.45,BS III,"6,37,000"
Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI,Hyundai,Elite i20,2016,white,hatchback,73251,1st,5,diesel,45,"16 Valves, 4 Cylinder",1396,6-Speed,Manual,89,220,22.54,BS IV,"6,88,000"
Hyundai Elite i20 [2018-2020] Asta 1.4 CRDI,Hyundai,Elite i20,2018,orange,hatchback,44188,1st,5,diesel,45,"16 Valves, 4 Cylinder",1396,6-Speed,Automatic,89,220,22.54,BS V,"8,16,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,45590,1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215,24.4,BS V,"6,44,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,45590,1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215,24.4,BS V,"6,44,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,45590,1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215,24.4,BS V,"6,44,000"
Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,45590,1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215,24.4,BS V,"6,44,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2016,blue,suv,97039,1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126,265,17.01,BS IV,"10,86,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2016,blue,suv,97039,1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126,265,17.01,BS IV,"10,86,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2016,blue,suv,97039,1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126,265,17.01,BS IV,"10,86,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2016,blue,suv,97039,1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126,265,17.01,BS IV,"10,86,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2016,silver,hatchback,14359,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"6,74,000"
Hyundai Eon [2011-2018] Era +,Hyundai,Eon,2018,white,hatchback,48670,2nd,5,petrol,32,Petrol Engine,814,5-Speed,Manual,55.2,74.5,21.1,BS IV,"3,50,000"
Hyundai Creta [2018-2020] 1.6 SX OPT VTVT,Hyundai,Creta,2018,red,suv,70015,1st,5,petrol,55,VTVT Petrol Engine,1591,6-Speed,Automatic,121.3,151,15.8,BS V,"12,13,000"
Maruti Suzuki Alto K10 [2010-2014] VXi,Maruti Suzuki,Alto K10,2011,silver,hatchback,41517,2nd,5,petrol,35,K Series Petrol Engine,998,5-Speed,Manual,67.1,90,20.92,BS IV,"2,75,000"
Maruti Suzuki S-Presso VXI+,Maruti Suzuki,S-Presso,2021,grey,hatchback,14818,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.01,BS IV,"5,33,000"
Honda City V,Honda,City,2017,brown,sedan,46935,1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Manual,117.6,145,17.4,BS IV,"8,24,000"
Hyundai Elite i20 [2018-2020] Sportz Plus 1.2,Hyundai,Elite i20,2020,white,hatchback,30590,1st,5,petrol,40,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,117,18.6,BS V,"8,05,000"
Hyundai Creta [2015-2018] 1.6 SX Plus Petrol,Hyundai,Creta,2017,black,suv,62805,1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122,154,15.29,BS IV,"10,98,000"
Maruti Suzuki Ciaz Alpha(Petrol),Maruti Suzuki,Ciaz,2017,grey,sedan,47123,1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130,20.73,BS IV,"7,95,000"
Maruti Suzuki Alto K10 [2014-2019] VXi (O),Maruti Suzuki,Alto K10,2019,silver,hatchback,50437,2nd,5,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,BS V,"4,06,000"
